condition,date,county,state,fips,illness
observed,2020-02-16,Hawaii County,HI,15001,7.189985075213503
observed,2020-02-17,Hawaii County,HI,15001,6.989985068267165
observed,2020-02-18,Hawaii County,HI,15001,6.840000237564767
observed,2020-02-19,Hawaii County,HI,15001,6.760000234786232
observed,2020-02-20,Hawaii County,HI,15001,6.530015401305298
observed,2020-02-21,Hawaii County,HI,15001,6.240000216725752
observed,2020-02-22,Hawaii County,HI,15001,6.2699850432603474
observed,2020-02-23,Hawaii County,HI,15001,6.040000209779413
observed,2020-02-24,Hawaii County,HI,15001,5.909985030756938
observed,2020-02-25,Hawaii County,HI,15001,5.76000020005454
observed,2020-02-26,Hawaii County,HI,15001,5.549985018253531
observed,2020-02-27,Hawaii County,HI,15001,5.370015361016537
observed,2020-02-28,Hawaii County,HI,15001,5.179969830895449
observed,2020-02-29,Hawaii County,HI,15001,5.029985000193051
observed,2020-03-01,Hawaii County,HI,15001,5.040000175047722
observed,2020-03-02,Hawaii County,HI,15001,5.1099850029715865
observed,2020-03-03,Hawaii County,HI,15001,5.149985004360854
observed,2020-03-04,Hawaii County,HI,15001,5.179969830895449
observed,2020-03-05,Hawaii County,HI,15001,5.0900153512916635
observed,2020-03-06,Hawaii County,HI,15001,4.960000172269188
observed,2020-03-07,Hawaii County,HI,15001,4.920000170879919
observed,2020-03-08,Hawaii County,HI,15001,5.080000176436991
observed,2020-03-09,Hawaii County,HI,15001,5.139969829506182
observed,2020-03-10,Hawaii County,HI,15001,5.160000179215525
observed,2020-03-11,Hawaii County,HI,15001,4.97001534712386
observed,2020-03-12,Hawaii County,HI,15001,5.040000175047722
observed,2020-03-13,Hawaii County,HI,15001,5.120000177826259
observed,2020-03-14,Hawaii County,HI,15001,5.1899850057501205
observed,2020-03-15,Hawaii County,HI,15001,5.149985004360854
observed,2020-03-16,Hawaii County,HI,15001,5.200000180604793
observed,2020-03-17,Hawaii County,HI,15001,4.960000172269188
observed,2020-03-18,Hawaii County,HI,15001,4.940030520589265
observed,2020-03-19,Hawaii County,HI,15001,4.980030521978533
observed,2020-03-20,Hawaii County,HI,15001,4.669984987689641
observed,2020-03-21,Hawaii County,HI,15001,4.090015316559972
observed,2020-03-22,Hawaii County,HI,15001,3.6800001278126224
observed,2020-03-23,Hawaii County,HI,15001,3.400000118087749
observed,2020-03-24,Hawaii County,HI,15001,3.010015279049746
observed,2020-03-25,Hawaii County,HI,15001,2.690015267935605
observed,2020-03-26,Hawaii County,HI,15001,2.269984904333583
observed,2020-03-27,Hawaii County,HI,15001,1.88000006529558
observed,2020-03-28,Hawaii County,HI,15001,1.6000000555707066
observed,2020-03-29,Hawaii County,HI,15001,1.5099848779374985
observed,2020-03-30,Hawaii County,HI,15001,1.4400000500136345
observed,2020-03-31,Hawaii County,HI,15001,1.320000045845833
observed,2020-04-01,Hawaii County,HI,15001,1.2100152165327018
observed,2020-04-02,Hawaii County,HI,15001,1.109984864044822
observed,2020-04-03,Hawaii County,HI,15001,0.9399696836330779
observed,2020-04-04,Hawaii County,HI,15001,0.8199696794652747
observed,2020-04-05,Hawaii County,HI,15001,0.7000303733268941
observed,2020-04-06,Hawaii County,HI,15001,0.640000022228283
observed,2020-04-07,Hawaii County,HI,15001,0.5300151929151518
observed,2020-04-08,Hawaii County,HI,15001,0.48000001667121095
observed,2020-04-09,Hawaii County,HI,15001,0.4100151887473486
observed,2020-04-10,Hawaii County,HI,15001,0.3899848390380046
observed,2020-04-11,Hawaii County,HI,15001,0.33001518596881435
observed,2020-04-12,Hawaii County,HI,15001,0.2699848348702015
observed,2020-04-13,Hawaii County,HI,15001,0.2299848334809326
observed,2020-04-14,Hawaii County,HI,15001,0.1700151804117423
observed,2020-04-15,Hawaii County,HI,15001,0.10003035248788
observed,2020-04-16,Hawaii County,HI,15001,0.0
observed,2020-04-17,Hawaii County,HI,15001,0.0
observed,2020-04-18,Hawaii County,HI,15001,0.010015174854671991
observed,2020-04-19,Hawaii County,HI,15001,0.010015174854671991
observed,2020-04-20,Hawaii County,HI,15001,0.01996965167992316
observed,2020-04-21,Hawaii County,HI,15001,0.0
observed,2020-04-22,Hawaii County,HI,15001,0.01996965167992316
observed,2020-04-23,Hawaii County,HI,15001,0.04000000138926715
observed,2020-04-24,Hawaii County,HI,15001,0.029984826534595152
observed,2020-04-25,Hawaii County,HI,15001,0.0
observed,2020-04-26,Hawaii County,HI,15001,0.0
observed,2020-04-27,Hawaii County,HI,15001,0.0
observed,2020-04-28,Hawaii County,HI,15001,0.0
observed,2020-04-29,Hawaii County,HI,15001,0.0
observed,2020-04-30,Hawaii County,HI,15001,0.0
observed,2020-05-01,Hawaii County,HI,15001,0.0
observed,2020-05-02,Hawaii County,HI,15001,0.0
observed,2020-05-03,Hawaii County,HI,15001,0.0
observed,2020-05-04,Hawaii County,HI,15001,0.0
observed,2020-05-05,Hawaii County,HI,15001,0.0
observed,2020-05-06,Hawaii County,HI,15001,0.0
observed,2020-05-07,Hawaii County,HI,15001,0.0
observed,2020-05-08,Hawaii County,HI,15001,0.0
observed,2020-05-09,Hawaii County,HI,15001,0.0
observed,2020-05-10,Hawaii County,HI,15001,0.0
observed,2020-05-11,Hawaii County,HI,15001,0.0
atypical,2020-03-09,Hawaii County,HI,15001,5.139969829506182
atypical,2020-03-10,Hawaii County,HI,15001,5.160000179215525
atypical,2020-03-11,Hawaii County,HI,15001,4.97001534712386
atypical,2020-03-12,Hawaii County,HI,15001,5.040000175047722
atypical,2020-03-13,Hawaii County,HI,15001,5.120000177826259
atypical,2020-03-14,Hawaii County,HI,15001,5.1899850057501205
atypical,2020-03-15,Hawaii County,HI,15001,5.149985004360854
atypical,2020-03-16,Hawaii County,HI,15001,5.200000180604793
atypical,2020-03-17,Hawaii County,HI,15001,4.960000172269188
atypical,2020-03-18,Hawaii County,HI,15001,4.940030520589265
atypical,2020-03-19,Hawaii County,HI,15001,4.980030521978533
atypical,2020-03-20,Hawaii County,HI,15001,4.669984987689641
atypical,2020-03-21,Hawaii County,HI,15001,4.090015316559972
atypical,2020-03-22,Hawaii County,HI,15001,3.6800001278126224
atypical,2020-03-23,Hawaii County,HI,15001,3.400000118087749
atypical,2020-03-24,Hawaii County,HI,15001,3.010015279049746
atypical,2020-03-25,Hawaii County,HI,15001,2.690015267935605
atypical,2020-03-26,Hawaii County,HI,15001,2.269984904333583
atypical,2020-03-27,Hawaii County,HI,15001,1.88000006529558
atypical,2020-03-28,Hawaii County,HI,15001,1.6000000555707066
atypical,2020-03-29,Hawaii County,HI,15001,1.5099848779374985
atypical,2020-03-30,Hawaii County,HI,15001,1.4400000500136345
atypical,2020-03-31,Hawaii County,HI,15001,1.320000045845833
atypical,2020-04-01,Hawaii County,HI,15001,1.2100152165327018
atypical,2020-04-02,Hawaii County,HI,15001,1.109984864044822
atypical,2020-04-03,Hawaii County,HI,15001,0.9399696836330779
atypical,2020-04-04,Hawaii County,HI,15001,0.8199696794652747
observed,2020-02-16,Honolulu County,HI,15003,7.189985075213503
observed,2020-02-17,Honolulu County,HI,15003,6.989985068267165
observed,2020-02-18,Honolulu County,HI,15003,6.840000237564767
observed,2020-02-19,Honolulu County,HI,15003,6.760000234786232
observed,2020-02-20,Honolulu County,HI,15003,6.530015401305298
observed,2020-02-21,Honolulu County,HI,15003,6.240000216725752
observed,2020-02-22,Honolulu County,HI,15003,6.2699850432603474
observed,2020-02-23,Honolulu County,HI,15003,6.040000209779413
observed,2020-02-24,Honolulu County,HI,15003,5.909985030756938
observed,2020-02-25,Honolulu County,HI,15003,5.76000020005454
observed,2020-02-26,Honolulu County,HI,15003,5.549985018253531
observed,2020-02-27,Honolulu County,HI,15003,5.370015361016537
observed,2020-02-28,Honolulu County,HI,15003,5.179969830895449
observed,2020-02-29,Honolulu County,HI,15003,5.029985000193051
observed,2020-03-01,Honolulu County,HI,15003,5.040000175047722
observed,2020-03-02,Honolulu County,HI,15003,5.1099850029715865
observed,2020-03-03,Honolulu County,HI,15003,5.149985004360854
observed,2020-03-04,Honolulu County,HI,15003,5.179969830895449
observed,2020-03-05,Honolulu County,HI,15003,5.0900153512916635
observed,2020-03-06,Honolulu County,HI,15003,4.960000172269188
observed,2020-03-07,Honolulu County,HI,15003,4.920000170879919
observed,2020-03-08,Honolulu County,HI,15003,5.080000176436991
observed,2020-03-09,Honolulu County,HI,15003,5.139969829506182
observed,2020-03-10,Honolulu County,HI,15003,5.160000179215525
observed,2020-03-11,Honolulu County,HI,15003,4.97001534712386
observed,2020-03-12,Honolulu County,HI,15003,5.040000175047722
observed,2020-03-13,Honolulu County,HI,15003,5.120000177826259
observed,2020-03-14,Honolulu County,HI,15003,5.1899850057501205
observed,2020-03-15,Honolulu County,HI,15003,5.149985004360854
observed,2020-03-16,Honolulu County,HI,15003,5.200000180604793
observed,2020-03-17,Honolulu County,HI,15003,4.960000172269188
observed,2020-03-18,Honolulu County,HI,15003,4.940030520589265
observed,2020-03-19,Honolulu County,HI,15003,4.980030521978533
observed,2020-03-20,Honolulu County,HI,15003,4.669984987689641
observed,2020-03-21,Honolulu County,HI,15003,4.090015316559972
observed,2020-03-22,Honolulu County,HI,15003,3.6800001278126224
observed,2020-03-23,Honolulu County,HI,15003,3.400000118087749
observed,2020-03-24,Honolulu County,HI,15003,3.010015279049746
observed,2020-03-25,Honolulu County,HI,15003,2.690015267935605
observed,2020-03-26,Honolulu County,HI,15003,2.269984904333583
observed,2020-03-27,Honolulu County,HI,15003,1.88000006529558
observed,2020-03-28,Honolulu County,HI,15003,1.6000000555707066
observed,2020-03-29,Honolulu County,HI,15003,1.5099848779374985
observed,2020-03-30,Honolulu County,HI,15003,1.4400000500136345
observed,2020-03-31,Honolulu County,HI,15003,1.320000045845833
observed,2020-04-01,Honolulu County,HI,15003,1.2100152165327018
observed,2020-04-02,Honolulu County,HI,15003,1.109984864044822
observed,2020-04-03,Honolulu County,HI,15003,0.9399696836330779
observed,2020-04-04,Honolulu County,HI,15003,0.8199696794652747
observed,2020-04-05,Honolulu County,HI,15003,0.7000303733268941
observed,2020-04-06,Honolulu County,HI,15003,0.640000022228283
observed,2020-04-07,Honolulu County,HI,15003,0.5300151929151518
observed,2020-04-08,Honolulu County,HI,15003,0.48000001667121095
observed,2020-04-09,Honolulu County,HI,15003,0.4100151887473486
observed,2020-04-10,Honolulu County,HI,15003,0.3899848390380046
observed,2020-04-11,Honolulu County,HI,15003,0.33001518596881435
observed,2020-04-12,Honolulu County,HI,15003,0.2699848348702015
observed,2020-04-13,Honolulu County,HI,15003,0.2299848334809326
observed,2020-04-14,Honolulu County,HI,15003,0.1700151804117423
observed,2020-04-15,Honolulu County,HI,15003,0.10003035248788
observed,2020-04-16,Honolulu County,HI,15003,0.0
observed,2020-04-17,Honolulu County,HI,15003,0.0
observed,2020-04-18,Honolulu County,HI,15003,0.010015174854671991
observed,2020-04-19,Honolulu County,HI,15003,0.010015174854671991
observed,2020-04-20,Honolulu County,HI,15003,0.01996965167992316
observed,2020-04-21,Honolulu County,HI,15003,0.0
observed,2020-04-22,Honolulu County,HI,15003,0.01996965167992316
observed,2020-04-23,Honolulu County,HI,15003,0.04000000138926715
observed,2020-04-24,Honolulu County,HI,15003,0.029984826534595152
observed,2020-04-25,Honolulu County,HI,15003,0.0
observed,2020-04-26,Honolulu County,HI,15003,0.0
observed,2020-04-27,Honolulu County,HI,15003,0.0
observed,2020-04-28,Honolulu County,HI,15003,0.0
observed,2020-04-29,Honolulu County,HI,15003,0.0
observed,2020-04-30,Honolulu County,HI,15003,0.0
observed,2020-05-01,Honolulu County,HI,15003,0.0
observed,2020-05-02,Honolulu County,HI,15003,0.0
observed,2020-05-03,Honolulu County,HI,15003,0.0
observed,2020-05-04,Honolulu County,HI,15003,0.0
observed,2020-05-05,Honolulu County,HI,15003,0.0
observed,2020-05-06,Honolulu County,HI,15003,0.0
observed,2020-05-07,Honolulu County,HI,15003,0.0
observed,2020-05-08,Honolulu County,HI,15003,0.0
observed,2020-05-09,Honolulu County,HI,15003,0.0
observed,2020-05-10,Honolulu County,HI,15003,0.0
observed,2020-05-11,Honolulu County,HI,15003,0.0
atypical,2020-03-09,Honolulu County,HI,15003,5.139969829506182
atypical,2020-03-10,Honolulu County,HI,15003,5.160000179215525
atypical,2020-03-11,Honolulu County,HI,15003,4.97001534712386
atypical,2020-03-12,Honolulu County,HI,15003,5.040000175047722
atypical,2020-03-13,Honolulu County,HI,15003,5.120000177826259
atypical,2020-03-14,Honolulu County,HI,15003,5.1899850057501205
atypical,2020-03-15,Honolulu County,HI,15003,5.149985004360854
atypical,2020-03-16,Honolulu County,HI,15003,5.200000180604793
atypical,2020-03-17,Honolulu County,HI,15003,4.960000172269188
atypical,2020-03-18,Honolulu County,HI,15003,4.940030520589265
atypical,2020-03-19,Honolulu County,HI,15003,4.980030521978533
atypical,2020-03-20,Honolulu County,HI,15003,4.669984987689641
atypical,2020-03-21,Honolulu County,HI,15003,4.090015316559972
atypical,2020-03-22,Honolulu County,HI,15003,3.6800001278126224
atypical,2020-03-23,Honolulu County,HI,15003,3.400000118087749
atypical,2020-03-24,Honolulu County,HI,15003,3.010015279049746
atypical,2020-03-25,Honolulu County,HI,15003,2.690015267935605
atypical,2020-03-26,Honolulu County,HI,15003,2.269984904333583
atypical,2020-03-27,Honolulu County,HI,15003,1.88000006529558
atypical,2020-03-28,Honolulu County,HI,15003,1.6000000555707066
atypical,2020-03-29,Honolulu County,HI,15003,1.5099848779374985
atypical,2020-03-30,Honolulu County,HI,15003,1.4400000500136345
atypical,2020-03-31,Honolulu County,HI,15003,1.320000045845833
atypical,2020-04-01,Honolulu County,HI,15003,1.2100152165327018
atypical,2020-04-02,Honolulu County,HI,15003,1.109984864044822
atypical,2020-04-03,Honolulu County,HI,15003,0.9399696836330779
atypical,2020-04-04,Honolulu County,HI,15003,0.8199696794652747
observed,2020-02-16,Kalawao County,HI,15005,7.189985075213503
observed,2020-02-17,Kalawao County,HI,15005,6.989985068267165
observed,2020-02-18,Kalawao County,HI,15005,6.840000237564767
observed,2020-02-19,Kalawao County,HI,15005,6.760000234786232
observed,2020-02-20,Kalawao County,HI,15005,6.530015401305298
observed,2020-02-21,Kalawao County,HI,15005,6.240000216725752
observed,2020-02-22,Kalawao County,HI,15005,6.2699850432603474
observed,2020-02-23,Kalawao County,HI,15005,6.040000209779413
observed,2020-02-24,Kalawao County,HI,15005,5.909985030756938
observed,2020-02-25,Kalawao County,HI,15005,5.76000020005454
observed,2020-02-26,Kalawao County,HI,15005,5.549985018253531
observed,2020-02-27,Kalawao County,HI,15005,5.370015361016537
observed,2020-02-28,Kalawao County,HI,15005,5.179969830895449
observed,2020-02-29,Kalawao County,HI,15005,5.029985000193051
observed,2020-03-01,Kalawao County,HI,15005,5.040000175047722
observed,2020-03-02,Kalawao County,HI,15005,5.1099850029715865
observed,2020-03-03,Kalawao County,HI,15005,5.149985004360854
observed,2020-03-04,Kalawao County,HI,15005,5.179969830895449
observed,2020-03-05,Kalawao County,HI,15005,5.0900153512916635
observed,2020-03-06,Kalawao County,HI,15005,4.960000172269188
observed,2020-03-07,Kalawao County,HI,15005,4.920000170879919
observed,2020-03-08,Kalawao County,HI,15005,5.080000176436991
observed,2020-03-09,Kalawao County,HI,15005,5.139969829506182
observed,2020-03-10,Kalawao County,HI,15005,5.160000179215525
observed,2020-03-11,Kalawao County,HI,15005,4.97001534712386
observed,2020-03-12,Kalawao County,HI,15005,5.040000175047722
observed,2020-03-13,Kalawao County,HI,15005,5.120000177826259
observed,2020-03-14,Kalawao County,HI,15005,5.1899850057501205
observed,2020-03-15,Kalawao County,HI,15005,5.149985004360854
observed,2020-03-16,Kalawao County,HI,15005,5.200000180604793
observed,2020-03-17,Kalawao County,HI,15005,4.960000172269188
observed,2020-03-18,Kalawao County,HI,15005,4.940030520589265
observed,2020-03-19,Kalawao County,HI,15005,4.980030521978533
observed,2020-03-20,Kalawao County,HI,15005,4.669984987689641
observed,2020-03-21,Kalawao County,HI,15005,4.090015316559972
observed,2020-03-22,Kalawao County,HI,15005,3.6800001278126224
observed,2020-03-23,Kalawao County,HI,15005,3.400000118087749
observed,2020-03-24,Kalawao County,HI,15005,3.010015279049746
observed,2020-03-25,Kalawao County,HI,15005,2.690015267935605
observed,2020-03-26,Kalawao County,HI,15005,2.269984904333583
observed,2020-03-27,Kalawao County,HI,15005,1.88000006529558
observed,2020-03-28,Kalawao County,HI,15005,1.6000000555707066
observed,2020-03-29,Kalawao County,HI,15005,1.5099848779374985
observed,2020-03-30,Kalawao County,HI,15005,1.4400000500136345
observed,2020-03-31,Kalawao County,HI,15005,1.320000045845833
observed,2020-04-01,Kalawao County,HI,15005,1.2100152165327018
observed,2020-04-02,Kalawao County,HI,15005,1.109984864044822
observed,2020-04-03,Kalawao County,HI,15005,0.9399696836330779
observed,2020-04-04,Kalawao County,HI,15005,0.8199696794652747
